set_name,record_id,split,weight,scale_factor,notes
peer_expansion_30k,RSN882_LANDERS_FHS000,all,1.0,1.0,PEER result_id=14; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN882_LANDERS_FHS090,all,1.0,1.0,PEER result_id=14; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN1110_KOBE_MRG000,all,1.0,1.0,PEER result_id=24; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN1110_KOBE_MRG090,all,1.0,1.0,PEER result_id=24; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN3884_TOTTORI_HRS021EW,all,1.0,1.0,PEER result_id=31; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN3884_TOTTORI_HRS021NS,all,1.0,1.0,PEER result_id=31; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN3908_TOTTORI_OKY005EW,all,1.0,1.0,PEER result_id=32; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN3908_TOTTORI_OKY005NS,all,1.0,1.0,PEER result_id=32; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN3936_TOTTORI_SMN004EW,all,1.0,1.0,PEER result_id=33; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN3936_TOTTORI_SMN004NS,all,1.0,1.0,PEER result_id=33; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5250_CHUETSU_NIG004EW,all,1.0,1.0,PEER result_id=46; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5250_CHUETSU_NIG004NS,all,1.0,1.0,PEER result_id=46; expansion_npts_max=30000; allow_npts_policy_excluded=true
peer_expansion_30k,RSN5263_CHUETSU_NIG017EW,all,1.0,1.0,PEER result_id=47; expansion_npts_max=30000; allow_npts_policy_excluded=true
